name,price,image
"Russet Potatoes, 10 lb Bag",3.99,https://digital.loblaws.ca/PCX/20601020001_EA/en/1/20601020001_en_front_v1_400.png
Whole White Mushrooms,2.49,https://digital.loblaws.ca/PCX/20776239_EA/en/1/20776239_en_front_400.png
Zucchini,1.85,https://digital.loblaws.ca/PCX/20426596001_KG/en/1/20426596001_en_front_400.png
Sweet Onion,3.03,https://digital.loblaws.ca/PCX/20083454001_KG/en/1/20083454001_en_front_400.png
Naturally Imperfect Mixed Sweet Peppers 2.5lb Bag,7.50,https://digital.loblaws.ca/PCX/20921434001_EA/en/1/20921434001_en_front_v1_400.png
Colossal Fresh Garlic,1.10,https://digital.loblaws.ca/PCX/20135581001_KG/en/1/20135581001_en_front_400.png
Jalapeno Peppers,0.55,https://digital.loblaws.ca/PCX/20088387001_KG/en/1/20088387001_en_front_400.png
Sweet Nantes Carrots,3.49,https://digital.loblaws.ca/PCX/21302363001_EA/en/1/21302363001_en_front_400.png
Long Eggplants,1.65,https://digital.loblaws.ca/PCX/20159013001_KG/en/1/20159013001_en_front_400.png
Green Beans,0.99,https://digital.loblaws.ca/PCX/20142683001_KG/en/1/20142683001_en_front_400.png
Yellow Onion,1.23,https://digital.loblaws.ca/PCX/20168304001_KG/en/1/20168304001_enfr_front_v1_400.png
White Mushrooms,0.36,https://digital.loblaws.ca/PCX/20321225001_KG/en/1/20321225001_en_front_v1_400.png
Naturally Imperfect Carrots,4.00,https://digital.loblaws.ca/PCX/20945332001_EA/en/1/20945332001_en_front_400.png
Naturally Imperfect White Mushrooms,5.00,https://digital.loblaws.ca/PCX/20937529_EA/en/1/20937529_en_front_v1_400.png
Radish,3.79,https://digital.loblaws.ca/PCX/20175513001_EA/en/1/20175513001_en_front_400.png
Red Cabbage,5.84,https://digital.loblaws.ca/PCX/20773656001_KG/en/1/20773656001_en_front_400.png
Sweet Corn,6.99,https://digital.loblaws.ca/PCX/20348977001_EA/en/1/20348977001_en_front_400.png
"Organic Mini Carrots, 1 lb bag",4.49,https://digital.loblaws.ca/PCX/20185409_EA/en/1/20185409_en_front_400.png
Turnips,2.09,https://digital.loblaws.ca/PCX/20136107001_KG/en/1/20136107001_en_front_400.png
"Peppers, 2-Pack",5.99,https://digital.loblaws.ca/PCX/20690699001_EA/en/1/20690699001_en_front_400.png
Ginger,3.99,https://digital.loblaws.ca/PCX/21102204001_EA/en/1/21102204001_en_front_400.png
Mixed Mini Peppers,5.99,https://digital.loblaws.ca/PCX/21646572001_EA/en/1/21646572001_enfr_front_400.png
Red Thai Hot Peppers,4.00,https://digital.loblaws.ca/PCX/21454495001_EA/en/1/21454495001_en_front_400.png
Purple Yam,3.99,https://digital.loblaws.ca/PCX/20849858001_KG/en/1/20849858001_en_front_400.png
Shanghai Bok Choy Jr.,3.95,https://digital.loblaws.ca/PCX/20073098001_KG/en/1/20073098001_en_front_400.png
"Parsnips, 1 lb Bag",3.99,https://digital.loblaws.ca/PCX/20081596_EA/en/1/3338370040_enfr_front_centre_marketing_GS1_Ecommerce_400.png
Parsnip,1.65,https://digital.loblaws.ca/PCX/20084198001_KG/en/1/20084198001_en_front_400.png
Organic Green Cabbage,5.74,https://digital.loblaws.ca/PCX/20125182001_KG/en/1/20125182001_en_front_400.png
Buttercup Squash,8.38,https://digital.loblaws.ca/PCX/20317208001_KG/en/1/20317208001_en_front_400.png
Organic Green Kale,4.99,https://digital.loblaws.ca/PCX/21165282001_EA/en/1/21165282001_en_front_400.png
Finger Hot Hot Peppers,4.00,https://digital.loblaws.ca/PCX/21454748001_EA/en/1/21454748001_en_front_400.png
Collard Greens,3.99,https://digital.loblaws.ca/PCX/20118251001_EA/en/1/20118251001_en_front_400.png
Organics Baby King Oyster Whole Mushrooms,5.00,https://digital.loblaws.ca/PCX/21548173_EA/en/1/21548173_enfr_front_v1_400.png
Long Eggplants (1Pack),14.36,https://digital.loblaws.ca/PCX/20686417001_KG/en/1/20686417001_en_front_400.png
Turmeric,4.32,https://digital.loblaws.ca/PCX/20863447001_KG/en/1/20863447001_en_front_400.png
Organic Green Zucchini,5.49,https://digital.loblaws.ca/PCX/20878973001_EA/en/1/20878973001_en_front_400.png
Naturally Imperfect Broccoli Crowns,6.00,https://digital.loblaws.ca/PCX/21682402001_EA/en/1/21682402001_enfr_front_400.png
Cubanelle Peppers,1.50,https://digital.loblaws.ca/PCX/20049810001_KG/en/1/20049810001_en_front_400.png
"Live Lettuce Red/Green, 2-pack",4.99,https://digital.loblaws.ca/PCX/21212487_EA/en/1/21212487_enfr_front_v1_400.png
"Organic Red Potatoes, 3 lb Bag",6.99,https://digital.loblaws.ca/PCX/20009380_EA/en/1/20009380_en_front_400.png
"White Potatoes, 5 lb Bag",5.99,https://digital.loblaws.ca/PCX/20600995001_EA/en/1/20600995001_en_front_400.png
Cocktail Tomatoes,4.00,https://digital.loblaws.ca/PCX/20779176001_EA/en/1/20779176001_en_front_400.png
"Artichokes, Large",2.99,https://digital.loblaws.ca/PCX/20022168001_EA/en/1/20022168001_en_front_400.png
Horseradish,5.39,https://digital.loblaws.ca/PCX/20099665001_KG/en/1/20099665001_en_front_400.png
Pimentos,4.42,https://digital.loblaws.ca/PCX/20864198001_KG/en/1/20864198001_en_front_400.png
Dasheen Leaves,15.56,https://digital.loblaws.ca/PCX/20864004001_KG/en/1/20864004001_en_front_400.png
"Carrots, 3 lb Bag",2.99,https://digital.loblaws.ca/PCX/20600927001_EA/en/1/20600927001_en_front_v1_250.png
Avocado Bag,3.99,https://digital.loblaws.ca/PCX/21644936001_EA/en/1/21644936001_en_front_250.png
Blackberries Half Pint,3.99,https://digital.loblaws.ca/PCX/20051015001_EA/en/1/20051015001_en_front_250.png
Blueberries 1 pint,6.99,https://digital.loblaws.ca/PCX/20080137001_EA/en/1/20080137001_enfr_front_250.png
Raspberries Half Pint,4.99,https://digital.loblaws.ca/PCX/20128938001_EA/en/1/20128938001_enfr_front_250.png
Green Onion,1.99,https://digital.loblaws.ca/PCX/20107500001_EA/en/1/20107500001_en_front_250.png
"Yellow Potato, 10 lb Bag",3.99,https://digital.loblaws.ca/PCX/20601017001_EA/en/1/20601017001_en_front_v1_250.png
Red Seedless Grapes,8.71,https://digital.loblaws.ca/PCX/20159199001_KG/en/1/20159199001_en_front_250.png
